,name,author,description,year_pub,nb_download,link
0,The Arabian Nights Entertainments,Anonymous,"There is no occasion to prepossess the reader with an opinion of the merit and beauty of the following work. There needs no more but to read it to satisfy any man, that hitherto nothing so fine of this nature has appeared in any language.What can be more ingenious than to compose such a prodigious quantity of pleasant stories, whose variety is surprising, and whose connexion is so wonderful? We know not the name of the author of so great a work; but probably it is not all done by one hand; for how can we suppose that one man alone could have invention enough to make so many fine things?",1813,"26,627",https://manybooks.net/titles/anonetext04arne110.html
1,Abandoned,Jules Verne,"The present romance, the second in the Mysterious Island triad, was originally issued in Paris with the title of L'Abandonné. Jules Verne's list of stories already ran then to some twenty volumes—a number which has since grown to almost Dumasien proportions. L'Abandonné, like its two companion tales, ran its course as a serial through the Magasin Illustré of education and recreation, before its issue as a boy's story-book. Its success in both forms seems to have established a record in the race for popularity and a circulation in both the French and English fields of current literature. The present book was translated into English by the late W. H. G. Kingston",1909,"25,523",https://manybooks.net/titles/vernejul3351633516-8.html
2,Abandoned,Jules Verne,"The present romance, the second in the Mysterious Island triad, was originally issued in Paris with the title of L'Abandonné. Jules Verne's list of stories already ran then to some twenty volumes—a number which has since grown to almost Dumasien proportions. L'Abandonné, like its two companion tales, ran its course as a serial through the Magasin Illustré of education and recreation, before its issue as a boy's story-book. Its success in both forms seems to have established a record in the race for popularity and a circulation in both the French and English fields of current literature. The present book was translated into English by the late W. H. G. Kingston",1909,"25,523",https://manybooks.net/titles/vernejul3351633516-8.html
3,At the Earth's Core,Edgar Rice Burroughs,"""Edgar Rice Burroughs' inner world evokes fantastic images of a world without time and a landscape like no other. He was not the first to utilize a hollow earth to tell a a story, but his is the best and most completely realized of all the inner world tales.""--erblist.com",1914,"25,070",https://manybooks.net/titles/burroughseetext96atcor11.html
4,At the Earth's Core,Edgar Rice Burroughs,"""Edgar Rice Burroughs' inner world evokes fantastic images of a world without time and a landscape like no other. He was not the first to utilize a hollow earth to tell a a story, but his is the best and most completely realized of all the inner world tales.""--erblist.com",1914,"25,070",https://manybooks.net/titles/burroughseetext96atcor11.html
5,Captain Blood,Rafael Sabatini,"The sharp-witted Dr. Peter Blood, an Irish physician, is convicted of treason in the aftermath of the Monmouth rebellion in 1685, and enslaved on the Caribbean island of Barbados. After his daring escape he becomes a pirate, driven to revenge his enslavement and clear his name.",1922,"24,373",https://manybooks.net/titles/sabatinietext99cpbld11.html
6,Captain Blood,Rafael Sabatini,"The sharp-witted Dr. Peter Blood, an Irish physician, is convicted of treason in the aftermath of the Monmouth rebellion in 1685, and enslaved on the Caribbean island of Barbados. After his daring escape he becomes a pirate, driven to revenge his enslavement and clear his name.",1922,"24,373",https://manybooks.net/titles/sabatinietext99cpbld11.html
7,Cleopatra,H. Rider Haggard,"Set in the Ptolemaic era the story revolves around the survival of a dynastic bloodline protected by the Priesthood of Isis. Harmachis, the last living descendent of this bloodline, is charged by the Priesthood with the overthrow of Cleopatra, the ejection of the Romans, and the restoration of Egypt to it's golden age.",1889,"26,187",https://manybooks.net/titles/haggardhetext01clptr10.html
8,Cleopatra,H. Rider Haggard,"Set in the Ptolemaic era the story revolves around the survival of a dynastic bloodline protected by the Priesthood of Isis. Harmachis, the last living descendent of this bloodline, is charged by the Priesthood with the overthrow of Cleopatra, the ejection of the Romans, and the restoration of Egypt to it's golden age.",1889,"26,187",https://manybooks.net/titles/haggardhetext01clptr10.html
9,The Black Moth,Georgette Heyer,"Jack Carstares, disgraced eldest son of the Earl Wyncham, returns home in secret to live as a highwayman, the only way he can remain in the land he loves. Injured while foiling the abduction of beautiful Diana Beauleigh by the infamous Duke of Andover, Jack is taken in by Diana's Aunt Betty, and his recovery is surrounded by mystery and intrigue.",1921,"23,126",https://manybooks.net/titles/heyergother08black_moth.html
10,The Black Moth,Georgette Heyer,"Jack Carstares, disgraced eldest son of the Earl Wyncham, returns home in secret to live as a highwayman, the only way he can remain in the land he loves. Injured while foiling the abduction of beautiful Diana Beauleigh by the infamous Duke of Andover, Jack is taken in by Diana's Aunt Betty, and his recovery is surrounded by mystery and intrigue.",1921,"23,126",https://manybooks.net/titles/heyergother08black_moth.html
11,An Antarctic Mystery,Jules Verne,A sequel to Edgar Allan Poe's The Narrative of A. Gordon Pym. English translation by  Mrs. Cashel Hoey.,1899,"22,569",https://manybooks.net/titles/vernejulother07antarctic_mystery.html
12,An Antarctic Mystery,Jules Verne,A sequel to Edgar Allan Poe's The Narrative of A. Gordon Pym. English translation by  Mrs. Cashel Hoey.,1899,"22,569",https://manybooks.net/titles/vernejulother07antarctic_mystery.html
13,The Chessmen of Mars,Edgar Rice Burroughs,"The adventures of Princess Tara in the land of headless men, creatures with the power of detaching their beads from their bodies and replacing them at will.",1922,"20,713",https://manybooks.net/titles/burroughseetext98cmars12.html
14,The Chessmen of Mars,Edgar Rice Burroughs,"The adventures of Princess Tara in the land of headless men, creatures with the power of detaching their beads from their bodies and replacing them at will.",1922,"20,713",https://manybooks.net/titles/burroughseetext98cmars12.html
15,The Stinging Tree,Luke King,"Is Brad seeing things? A boy, his double, on the other side of the stream. It's like looking into a mirror. But where has he come from? Who is he? When Brad decides to follow him into the forest, it is the start of an action-packed thrill ride. Set in the mountains of far northern Australia, this is the debut novel of author Luke King. ",2010,"20,285",https://manybooks.net/titles/kinglother10stinging_tree.html
16,The Stinging Tree,Luke King,"Is Brad seeing things? A boy, his double, on the other side of the stream. It's like looking into a mirror. But where has he come from? Who is he? When Brad decides to follow him into the forest, it is the start of an action-packed thrill ride. Set in the mountains of far northern Australia, this is the debut novel of author Luke King. ",2010,"20,285",https://manybooks.net/titles/kinglother10stinging_tree.html
17,The Man in the Iron Mask,Alexandre Dumas,"A translation of L'homme au masque de fer.
",1850,"19,732",https://manybooks.net/titles/dumasalpetext01ironm11.html
18,The Man in the Iron Mask,Alexandre Dumas,"A translation of L'homme au masque de fer.
",1850,"19,732",https://manybooks.net/titles/dumasalpetext01ironm11.html
19,All Things Are Lights,Robert J. Shea,"In the war-torn world of  Louis IX's failed crusades, amidst the secret society called the ""Knights Templar,"" a young warrior comes of age.",1986,"19,099",https://manybooks.net/titles/shearother07all_things_are_lights.html
20,All Things Are Lights,Robert J. Shea,"In the war-torn world of  Louis IX's failed crusades, amidst the secret society called the ""Knights Templar,"" a young warrior comes of age.",1986,"19,099",https://manybooks.net/titles/shearother07all_things_are_lights.html
21,Delver Magic I: Sanctum's Breach,Jeff Inlo,"A rolling tremor passes through the land of Uton signaling a return of long absent magic. Ryson Acumen, purebred delver, senses these changes and learns the Sphere of Ingar is free from its tomb. As violent creatures return to shred the very fabric of reality, the sphere gains awareness and spews corrupt energies to obliterate all life. The talisman must be destroyed, but the path remains defended by devices forged long ago. Those that wish to defeat the sphere must not only overcome these barriers, they must conquer the mistrust which has flourished between the races during the period of separation.",2009,"18,784",https://manybooks.net/titles/inlojother09delver_magic.html
22,Delver Magic I: Sanctum's Breach,Jeff Inlo,"A rolling tremor passes through the land of Uton signaling a return of long absent magic. Ryson Acumen, purebred delver, senses these changes and learns the Sphere of Ingar is free from its tomb. As violent creatures return to shred the very fabric of reality, the sphere gains awareness and spews corrupt energies to obliterate all life. The talisman must be destroyed, but the path remains defended by devices forged long ago. Those that wish to defeat the sphere must not only overcome these barriers, they must conquer the mistrust which has flourished between the races during the period of separation.",2009,"18,784",https://manybooks.net/titles/inlojother09delver_magic.html
23,Across the Spanish Main,Harry Collingwood,"The heroes of the story are two boys from Devon, a county in the south-west of England.  They set off with a view to repairing the fortunes of the family of one of them, by chasing and capturing Spanishtreasure ships.",1906,"18,655",https://manybooks.net/titles/collingwoodh2445424454.html
24,Across the Spanish Main,Harry Collingwood,"The heroes of the story are two boys from Devon, a county in the south-west of England.  They set off with a view to repairing the fortunes of the family of one of them, by chasing and capturing Spanishtreasure ships.",1906,"18,655",https://manybooks.net/titles/collingwoodh2445424454.html
25,The Return of Tarzan,Edgar Rice Burroughs,"The story of a young man who, although born of a woman, was left by a succession of untoward circumstances to be reared in an African jungle by a she-ape, the only mother he ever knew. Tarzan was drawn from the jungle by love for a young American girl whom chance threw in his way. Disappointment in love, in this new volume, results in his return to the jungle where he has many strange adventures and whence he is again led forth by love, this time happy love.",1913,"18,097",https://manybooks.net/titles/burroughseetext93tarz211.html
26,The Return of Tarzan,Edgar Rice Burroughs,"The story of a young man who, although born of a woman, was left by a succession of untoward circumstances to be reared in an African jungle by a she-ape, the only mother he ever knew. Tarzan was drawn from the jungle by love for a young American girl whom chance threw in his way. Disappointment in love, in this new volume, results in his return to the jungle where he has many strange adventures and whence he is again led forth by love, this time happy love.",1913,"18,097",https://manybooks.net/titles/burroughseetext93tarz211.html
27,The Time Traders,Andre Norton,"Intelligence agents have uncovered something beyond belief, but the evidence is incontrovertible: the USA’s greatest adversary is sending its own agents back through time! And someone (or something)  is presenting them with technologies and weapons far beyond our most advanced science. We have only one option: create time-transfer technology ourselves, find the opposition's ancient source...and take it down!",1958,"16,997",https://manybooks.net/titles/nortona1914519145.html
28,The Time Traders,Andre Norton,"Intelligence agents have uncovered something beyond belief, but the evidence is incontrovertible: the USA’s greatest adversary is sending its own agents back through time! And someone (or something)  is presenting them with technologies and weapons far beyond our most advanced science. We have only one option: create time-transfer technology ourselves, find the opposition's ancient source...and take it down!",1958,"16,997",https://manybooks.net/titles/nortona1914519145.html
29,Kidnapped,Robert Louis Stevenson,"Being memoirs of the adventures of David Balfour in the year 1751: how he was kidnapped and cast away; his sufferings in a desert isle; his journey in the wild highlands; his acquaintance with Alan Breck Stewart and other notorious highland Jacobites; with all that he suffered at the hands of his uncle, Ebenezer Balfour of Shaws, falsely so called. Followed by Catriona.",1886,"15,793",https://manybooks.net/titles/stevensonro421421.html
30,Kidnapped,Robert Louis Stevenson,"Being memoirs of the adventures of David Balfour in the year 1751: how he was kidnapped and cast away; his sufferings in a desert isle; his journey in the wild highlands; his acquaintance with Alan Breck Stewart and other notorious highland Jacobites; with all that he suffered at the hands of his uncle, Ebenezer Balfour of Shaws, falsely so called. Followed by Catriona.",1886,"15,793",https://manybooks.net/titles/stevensonro421421.html
31,The Last of the Mohicans,James Fenimore Cooper,"Hawkeye and his Mohican companions Chingachgook and Uncas escort the Munro sisters, Cora and Alice, through the woods of New York to Fort William Henry. Also in the expeditin party are British army Major Duncan Heyward and a psalmist named David Gamut. Along the way they are forced to fight against Hurons led by the evil Magua, which leads to an encounter with another American Indian tribe called the Delaware -- a development which will prove crucial at the end of the novel.
",1826,"15,785",https://manybooks.net/titles/cooperjaetext97mohic10.html
32,The Last of the Mohicans,James Fenimore Cooper,"Hawkeye and his Mohican companions Chingachgook and Uncas escort the Munro sisters, Cora and Alice, through the woods of New York to Fort William Henry. Also in the expeditin party are British army Major Duncan Heyward and a psalmist named David Gamut. Along the way they are forced to fight against Hurons led by the evil Magua, which leads to an encounter with another American Indian tribe called the Delaware -- a development which will prove crucial at the end of the novel.
",1826,"15,785",https://manybooks.net/titles/cooperjaetext97mohic10.html
33,The Land That Time Forgot,Edgar Rice Burroughs,"Starting out as a harrowing wartime sea adventure, The Land that Time Forgot ultimately develops into a lost world adventure story",1918,"15,173",https://manybooks.net/titles/burroughseetext96tlttf11.html
34,The Land That Time Forgot,Edgar Rice Burroughs,"Starting out as a harrowing wartime sea adventure, The Land that Time Forgot ultimately develops into a lost world adventure story",1918,"15,173",https://manybooks.net/titles/burroughseetext96tlttf11.html
35,The Trials of the Core,Michael E. Thies,"The system of Gladonus is unlike any other.

It is home to Creatures of Legend, all-powerful gods and goddesses, lost Ancients, reclusive First Bloods, and the Guardian of the Core. All life flows in and out of the system. Should it cease, the universe ceases to exist as well. That is why it is the Guardian’s duty to protect the system at all costs. However, his time is coming to a close and he needs to hold Trials to select his next apprentice.

A haughty, yet competent prince, Hydro Paen, longs to seize the Power of the Guardian and show to everyone who has doubted him that he is worthy of his lineage.

Under the guidance of his uncle, orphan Eirek Mourse participates, hoping only to survive such Trials and having no idea how he was even accepted in the first place.

And a tactician, Zain Berrese, always living in the shadow of his stepbrother’s accomplishments, wants to prove that he is capable of overcoming his haunted past and excelling further than his rivals.

None of these participants, however, know that the Trials will pit them against others who are just as conniving, talented, and motivated to win. None of them know that the Trials will test them in ways unimaginable. And none of them know that, by participating, it might mean the rendering of their identity and the forfeiting of their lives.

With their lives and identities on the line, will one of these would-be heroes find the inner strength and wisdom to emerge a champion and impress the Guardian before the system collapses?

A perfect sci-fantasy story for those who love Game of Thrones, Hunger Games, and Eragon. Buy today and experience the Trials for yourself!",2015,"3,818",https://manybooks.net/titles/the-trials-of-the-core
36,The Trials of the Core,Michael E. Thies,"The system of Gladonus is unlike any other.

It is home to Creatures of Legend, all-powerful gods and goddesses, lost Ancients, reclusive First Bloods, and the Guardian of the Core. All life flows in and out of the system. Should it cease, the universe ceases to exist as well. That is why it is the Guardian’s duty to protect the system at all costs. However, his time is coming to a close and he needs to hold Trials to select his next apprentice.

A haughty, yet competent prince, Hydro Paen, longs to seize the Power of the Guardian and show to everyone who has doubted him that he is worthy of his lineage.

Under the guidance of his uncle, orphan Eirek Mourse participates, hoping only to survive such Trials and having no idea how he was even accepted in the first place.

And a tactician, Zain Berrese, always living in the shadow of his stepbrother’s accomplishments, wants to prove that he is capable of overcoming his haunted past and excelling further than his rivals.

None of these participants, however, know that the Trials will pit them against others who are just as conniving, talented, and motivated to win. None of them know that the Trials will test them in ways unimaginable. And none of them know that, by participating, it might mean the rendering of their identity and the forfeiting of their lives.

With their lives and identities on the line, will one of these would-be heroes find the inner strength and wisdom to emerge a champion and impress the Guardian before the system collapses?

A perfect sci-fantasy story for those who love Game of Thrones, Hunger Games, and Eragon. Buy today and experience the Trials for yourself!",2015,"3,818",https://manybooks.net/titles/the-trials-of-the-core
